INFO:root:Heuristic is: return len(grid.getAvailableCells())
INFO:root:Move number=201, number of leaves=84306, time to find=0.004088163375854492
INFO:root:Move number=202, number of leaves=84337, time to find=0.0039691925048828125
INFO:root:Move number=203, number of leaves=84347, time to find=0.0019617080688476562
INFO:root:Move number=204, number of leaves=84363, time to find=0.0024423599243164062
INFO:root:Avg move time=0.022437238225749896, Max Tile=256
INFO:root:==========================================================================================
====================================================================================================
INFO:root:Heuristic is: return len(grid.getAvailableCells())
INFO:root:Move number=1, number of leaves=4029, time to find=1.0640084743499756
INFO:root:Depth Limit=5, Avg move time=1.0640084743499756, Max Tile=2
INFO:root:==========================================================================================
====================================================================================================
INFO:root:Heuristic is: return len(grid.getAvailableCells())
INFO:root:Move number=1, number of leaves=3863, time to find=0.18545246124267578
INFO:root:Move number=2, number of leaves=6243, time to find=0.09162211418151855
INFO:root:Move number=3, number of leaves=9476, time to find=0.12759137153625488
INFO:root:Move number=4, number of leaves=11991, time to find=0.10956406593322754
INFO:root:Move number=5, number of leaves=14208, time to find=0.10090327262878418
INFO:root:Move number=6, number of leaves=15519, time to find=0.05568575859069824
INFO:root:Move number=7, number of leaves=18249, time to find=0.11968684196472168
INFO:root:Move number=8, number of leaves=19486, time to find=0.05673694610595703
INFO:root:Move number=9, number of leaves=20557, time to find=0.05105876922607422
INFO:root:Move number=10, number of leaves=22205, time to find=0.07571649551391602
INFO:root:Move number=11, number of leaves=23857, time to find=0.08165431022644043
INFO:root:Move number=12, number of leaves=25033, time to find=0.05715632438659668
INFO:root:Move number=13, number of leaves=26302, time to find=0.05730748176574707
INFO:root:Move number=14, number of leaves=27032, time to find=0.04175209999084473
INFO:root:Move number=15, number of leaves=27564, time to find=0.032041072845458984
INFO:root:Move number=16, number of leaves=27970, time to find=0.024821996688842773
INFO:root:Move number=17, number of leaves=28830, time to find=0.050634145736694336
INFO:root:Move number=18, number of leaves=29801, time to find=0.048856258392333984
INFO:root:Move number=19, number of leaves=30737, time to find=0.044909000396728516
INFO:root:Move number=20, number of leaves=31540, time to find=0.04228067398071289
INFO:root:Move number=21, number of leaves=32301, time to find=0.04145979881286621
INFO:root:Move number=22, number of leaves=33107, time to find=0.04064154624938965
INFO:root:Move number=23, number of leaves=33611, time to find=0.03343629837036133
INFO:root:Move number=24, number of leaves=33821, time to find=0.012969732284545898
INFO:root:Move number=25, number of leaves=34264, time to find=0.02665877342224121
INFO:root:Move number=26, number of leaves=34756, time to find=0.02848029136657715
INFO:root:Move number=27, number of leaves=35466, time to find=0.03619551658630371
INFO:root:Move number=28, number of leaves=36091, time to find=0.03318071365356445
INFO:root:Move number=29, number of leaves=36268, time to find=0.013670206069946289
INFO:root:Move number=30, number of leaves=36406, time to find=0.011178016662597656
INFO:root:Move number=31, number of leaves=36638, time to find=0.014590263366699219
INFO:root:Move number=32, number of leaves=36804, time to find=0.010477542877197266
INFO:root:Move number=33, number of leaves=37004, time to find=0.014481306076049805
INFO:root:Move number=34, number of leaves=37349, time to find=0.021434545516967773
INFO:root:Move number=35, number of leaves=37602, time to find=0.016087770462036133
INFO:root:Move number=36, number of leaves=37825, time to find=0.01699376106262207
INFO:root:Move number=37, number of leaves=38105, time to find=0.015377998352050781
